Patient Question,Distorted part,Dominant Distortion,Secondary Distortion (Optional)
"Hello, So I’m 15 and under medication for (suicidal)depression (I take clomipramine). I have dealt with self harm and such issues and my depression is under control. Recently though, I started noticing that everything wasn’t going ok. I’ll explain: I feel tired all day but I get overwhelmed by anger and hate. I fantasize about hurting and even killing people, though i would never do this in real life. I feel like those things are getting worse fast.It feels like there are two “ME”s : one kind person and one mean, angry version of myself (I “bathe” in this anger and let it overwhelm me, it makes me feel powerful).","I feel like those things are getting worse fast.It feels like there are two “ME”s : one kind person and one mean, angry version of myself (I “bathe” in this anger and let it overwhelm me, it makes me feel powerful).",Mental filter,
"Thank you for your time. I’m not that skilled with words so I apologize if this does not make sense. I am a student athlete who holds several leadership positions on campus. To everyone I seem great but in reality I’m not even close to being okay. Between all of my commitments I am completely overwhelmed. Nothing is fun anymore and has not been for some time now. Also, I often find myself faced with a deep and powerful hatred toward myself and my mind is often consumed with the notion that I deserve to die. It has progressed to the point that I have been considering suicide as a valid and logical option. Even though cognitively I recognize that it should not even be a consideration. I fight this everyday and I am afraid of what might happen if I lose control for even a little while. That’s why I so strictly maintain the façade of being completely fine. I fear that if I even allow myself to admit that I am not fine then I would cease to be able to function. The most frustrating part of this whole situation is that there is no reason for it. My life has been great and there is a copious amount of objective evidence that would indicate that I have no reason and no right to feel like this. I’m an intensely private and independent person who struggles to open up. So my question is, how do I get past this on my own?","Also, I often find myself faced with a deep and powerful hatred toward myself and my mind is often consumed with the notion that I deserve to die. ",Mental filter,
"Over the past few years I have been curious as to what is wrong with me. I feel different, detached and slightly alienated. I have no interest in friendship or relationships (emotional or physical). I feel very emotionally cold and distant, I do still have emotions, but they are very diminished, I also have difficulty understanding what emotion I am feeling at any given time, in addition to lacking empathy. I often find myself being very manipulative and lying almost compulsively. It has gotten to the point where I will lie frequently for no reason, simply for the sake of lying. I am very impulsive and lack direction in my life, I pick up and drop new hobbies very frequently and I find it almost impossible to plan ahead and stick to life goals that I have set for myself.","I feel different, detached and slightly alienated. I have no interest in friendship or relationships (emotional or physical). I feel very emotionally cold and distant, I do still have emotions, but they are very diminished, I also have difficulty understanding what emotion I am feeling at any given time, in addition to lacking empathy. ",Mental filter,Labeling
"Hi, I am 15 years old and about three months ago I had a “Panic Attack” in bed at night. Since then at night-time I have this extreme fear. This includes heart palpation, trembling, numbing in hands and feet, fast breathing, fearful thoughts such as someone breaking in, ghosts creepy dolls you name it! I also sweat and feel extreme nausea the whole time. Because of this, trying to sleep is a problem as I can’t stop thinking of the fear, I can’t close my eyes for more than 5 seconds and if I want to sleep I have to have a video on and sometimes my lamp on though sometimes it is impossible to shut my mind off. It used to be much worse than now as I don’t have it regularly and can kind of control it but i do have my days. From what I have googled I cannot find many people with the same problem. I also have experienced waking up with my whole body numb, with loud ringing in my ears heart pounding and difficulty breathing. It is like I am in a bag as I feel detached from reality. When it is over however it feels like it never happened (btw I can move a bit but very difficult) it has happened twice but it terrifies me . I also have no idea what that is and when I went to the doctor he was not helpful AT ALL. I have been to counseling but the problem has not been solved. I get very stressed easily and have my fair share of anxiety in the day too. I am quite a healthy in size yet I don’t exercise and my diet could be better. I am just wondering what the fear at night is and if it may be possibly linked to stress during the day. Thanks a lot for taking your time to read this. (age 15, from New Zealand)","I have this extreme fear. This includes heart palpation, trembling, numbing in hands and feet, fast breathing, fearful thoughts such as someone breaking in, ghosts creepy dolls you name it! ",Emotional Reasoning,
"I found out my wife of 15 years was having an emotional affair with a friend of mine as a result of me being a poor husband. At what point do I stop trying to repair the damage? She has admitted the affair. She’s stating that she no longer speaks with him, but I question that. She is still very guarded of her phone, still friends with him on Facebook, etc. The reason she started the affair, and I’ve taken responsibility for this, was due to the fact that I put my work and mainly my hobbies ahead of my family for most of my marriage. I always thought she was supporting me in my hobby, but she says she was very unhappy.  And looking back I can see that now. Wish I had seen it then. However, she never told me point blank how unhappy she was. I found out about how unhappy she was about 3 months ago. I made wholesale changes in my life. I dropped my hobby right away. Starred spending as much time at home as I could. I put her and our daughter where they should have always been, first in my life. But something still seemed a little off. Then about 6 weeks into trying to work on our marriage( me doing most of the work, which I was fine with) I found out about this emotional affair. It devastated me. So now, another 6 weeks has passed. Things haven’t gotten much better. She says she’s done with him, but I question that as I said. I am still trying very hard to fix my mistakes and prove I’ve changed. However, I don’t feel she’s doing the same. My question is, because of my failures which I feel lead to the affair, should I be willing to give her more “time” to get to the point of working on her issues? It’s very difficult for me to handle the constant secrecy with her phone. I want to take it and see if she’s still contacting him, but I’m afraid that will crush any progress we may be making. I still love her very much and I do want to work this out. But at what point do my feelings and concerns become part of the equation? Thanks. (age 37, from US)","My question is, because of my failures which I feel lead to the affair, should I be willing to give her more “time” to get to the point of working on her issues?",Personalization,
"From Indonesia: I’m 21 and I have a friend from another country, he knew me from penpal website, he emailed me first. he said that he wanted to know me, then we chatted via Facebook and sometimes in other messenger apps. For the first time I wasn’t interested with him, but we almost chatted every night, he is a good man and sweet, always asked my activity, and I like to share my problem with him and he always gave an advice. Day by day he makes me feel special, and I start liking him. But since 1 month ago he seldom chatted me,",,No Distortion,
"Basically, I started failing college, badly. i had zero motivation and i would just sit there in lessons completely zoned out and if i wasnt in lessons, i would just sit at home and skive. i finished that school year with 4 U’s and i never really knew why i didnt want to go in. i would start having arguments with my parents for no reason , all the time. and i would take offence or be defensive whenever they asked anything about me from how was college or how was your day. i used to go out with my friends a lot, but i now spend a lot of time in my room on my laptop, but even when i do go out, i find it very very hard to keep a conversation going, and if i either drink or smoke weed, i just go into a completely depressed state and will not talke at all. i also suffer from insomnia. i will sometimes stay up until 4:00 am , but just because i cant stop thinking about things. i will start getting myself all worked up, almost paranoid, i dont really know why, i just wont stop thinking and that stops me from falling asleep. i dont show emotion to my parents much, and when i do i fake it, because i really dont care, i just come back from college and go straight into my room , and only come down for food. when i argue with my parents, i would go crazy. i would scream and shout, then i would break down and cry My parents are always having a go at me because i either dont attend college or im staying up, or im just being rude, but after all these things happen, i think why did i do that, i would never do that, i dont want to that!. but i just cant seem to stop it. Im really scared and i want answers, beacause i can see how ive changed and i think thats what freaks me out the most. i have looked up the negative symptoms of schizophrenia and i am sure that i show all. i dont hallucinate but i do come some up with ridiculous reasons to why people are acting how they are, like why someone wont come out. anyway, please help, im scared.","i used to go out with my friends a lot, but i now spend a lot of time in my room on my laptop, but even when i do go out, i find it very very hard to keep a conversation going, and if i either drink or smoke weed, i just go into a completely depressed state and will not talke at all.",Mental filter,
"Ok so I’ve talked to my parents a few times about how I think I might have depression. I’ve taken the tests on here every other day and results are almost always the same, minor to severe depression. So when I talked to my parents they said it was just because my hormones are all over the place, but would my hormones give me suicidal thoughts or wanting to cut. I don’t cut or commit suicide because I’m scared of the pain. I have also lost interest in some of my favourite things. I don’t sleep normal anymore either, I just can’t sleep, and when I cant sleep I think about how my future looks like I’ll never make it or I’ll just let my family down. My family and parents are the main cause to these thoughts trying to live up to all their expectations. I am just wondering if I could get someones idea on my situation and if my suspicion is a possibility.","I don’t sleep normal anymore either, I just can’t sleep, and when I cant sleep I think about how my future looks like I’ll never make it or I’ll just let my family down.",Fortune-telling,
"My husband(57) is a Phys Ed teacher and sports coach. He deals with thousands of students every day, but he always seems to have his favourites — normally girls of 18-20 who pour out their problems to him about being raped by family members/friends and appeal to his fatherly/protective side. There was even a case where the young girl was sending nude photos to him on her phone — which unfortunately my teenage daughter happened to see. We all went for counselling a few years ago, but now he has this relationship with a young girl who he coached softball last year. I picked up some vibes last year and challenged him but he said they were very close and he was helping her with some issues as she has been raped by her uncle at an early age.",,No Distortion,
"From the U.S.: Very long story short, I just recently found out that I have another child with a woman I dated a very long time ago. The little girl is a pre-teen years old, the mother was not sure who’s child it was. the man who is on the birth certificate is the only one the child has known as her dad.",,No Distortion,
"From a U.S. soldier: First off… I would specifically like this question to be answered by a woman, if possible. I am 34 years old, and have been struggling with a mental thought for years now (since I was 15). It drains me of my self esteem, it causes me to breath heavily when I encounter it, I’m afraid to travel, or even go on vacation. It’s my encounter with women.",,No Distortion,
"I’m a 15 year old girl who has been attending CAMHS for several months now. I have told them a great deal and opened up fully to them. Along side going to CAMHS, I’ve done some research of my own. My therapist keeps saying that it’s anxiety that i have, when what ive seen relates, but seems more than that. I have been hearing voices which are almost indecipherable, and as time passes theyre getting easier and easier to understand. I’ve looked through several sites and compared and came up with some things based on the things mentioned repeatedly throughout the sites. What ive come up with is that it could be some type of schizoaffective disorder, or schizophrenia. In general I feel depersonalized most of the time, and over the years ive learned to just get on with it, and found ways to deal with it, but it seems to be getting worse. The treatment that my therapist is giving me is CBT, and to be honest, it helps a bit, but not nearly enough :/ Do you think this is anxiety, or am I completely wrong to think of schizoaffective disorder/schizophrenia?","In general I feel depersonalized most of the time, and over the years ive learned to just get on with it, and found ways to deal with it, but it seems to be getting worse. ",Emotional Reasoning,
"I was diagnosed with schizophrenia this year. Ever since I was diagnosed people have been acting as if I’m a violent person. I see violent things, but would never act on them, I’m not violent at all. I don’t have a history of violence, but I’ve been seeing things since I was 14. Oh I’ve had the occasional fight like anyone else, but not acted out in violence unprovoked or for no reason. I only fight when someone hurts me or my family members. I don’t understand why everyone seems to think I’m so violent when the last physical fight I got in was at least 5 years ago. My brother-in-law beat my sister and I did attack him, but he was beating her with a belt and welted her all up so I honestly feel it’s justified. I’ve been threatened to have child services called if I babysit for any of my sisters, I’ve had people telling me to stay away from them because they’re scared I’ll hurt them or their loved ones, I’ve even been told if I ever have a baby of my own (I’m infertile so that’s impossible anyways though) that cps would be called the day it was released from the hospital. Even my therapists try putting me in the hospital every single time I go off my meds (I take haloperidol and can’t currently because my gallbladder makes me throw up when I take any meds or eat anything) because “you’re a danger to yourself and others right now.” I only started taking the meds this year, 21 years after the problems started. If I wasn’t violent during those 21 years why do they think I’ll be violent now? It’s not bad enough I see demons and blood and horrible things that I wouldn’t wish on anyone, it’s not bad enough I hear screaming a lot of the time, no they have to make it so I can’t even tell them what’s going on without being put in the hospital or evaluated to be put in the hospital. I don’t get it, please can someone explain this to me?",I don’t understand why everyone seems to think I’m so violent when the last physical fight I got in was at least 5 years ago. ,Mind Reading,
"From a teen in the U.S.: I don’t think I am antisocial because I am always with my friends, it’s just that I would rather be alone. But if I could be my complete self around my friends I wouldn’t be writing this. When it comes to family I don’t mind being with them, but I just would rather be alone when it comes to my friends.","I don’t think I am antisocial because I am always with my friends, it’s just that I would rather be alone.",Should statements,
"She was hospitalized at age of 35 because she took a chair to my head. She was in Forsyth Psychiatric Hospital for 3 weeks and was diagnosed with Paranoia Schizophrenia. Since then she has been hospitalized 2 more times. She has not taken medication and has made life hell for herself, her daughter and her brother and sisters and myself. We are at our wits end. We don’t know how to get help for her. I am her means of support and I live on SS so needless to say I am losing my home because I can no longer keep her up and make my house payments. I cannot get her on disability because the SS doctors will not say she is Paranoid and Schizophrenic. They interview her for 15 minutes and say she is fine. I do not know why I cannot get them to use her past records from the psychiatric hospitals. Please help me. She has no money to see a doctor and no money to buy medicine. She is always making people around her mad and fighting with her siblings. She keeps me upset. She is writing a letter every night to an old boyfriend because she believes he can straighten her family and friends out if they don’t do like she thinks is right. She will take it all the way to the post office because she thinks someone will get it if she puts it in the mail. I am afraid for my safety sometimes and hers. I really need some help. Please if you know what I can do please help me.",,No Distortion,
From the U.S.: I’ve chose a 5 month date to intro my new girlfriend to my kids. We are in love and we want to start sharing this to the kids at Thanksgiving gathering. The kids are 4 and 5. They know her as a friend now because of paths crossing. Is this approach risky for the kids?,,No Distortion,
"Hi, when I was about 15-16 I had thoughts of being assigned the wrong gender at birth, I kept it secret from my parents, but they kept laughing at me and making fun of me for being slightly feminine (wanting to grow my hair, having long nails). My dad always called me names and teased me about it. I kept it inside and only told one person, she was my closest friend that I could talk to, when I told her, I broke down crying and it was very upsetting. Because of the torment about it from my father, I have never been able to open up to anyone about it. I pushed these thoughts deep down and tried to get on with my life, trying to fill it with guy things and I love my computers and my computer gaming (which people thing are more male things) but recently I have been diagnosed with depression and these thoughts are coming back again. I’ve had lots of suicidal thoughts, but never carried them out, always had visions of bad things happening to me. I am currently taking meds from the doctor for the depression, as it started with anxiety and panic attacks. They came out of nowhere as far as I can work out, but the thoughts of being the wrong gender keeps coming up. I am seeing therapists for the anxiety and panic attacks, as well as councillors. I’m scared to bring this up because of the way my father treated me over it. The last month or so, I just havent wanted to do anything, lack of drive to accomplish anything and wanting to hide away from everyone and just curl up and die pretty much. The last few days I’ve had this feeling in my chest that something is wrong with me and I cant quite point to it, but it makes my whole body feel cold and shaky too.","I’ve had lots of suicidal thoughts, but never carried them out, always had visions of bad things happening to me.",Mental filter,
"My boyfriend and I met online and we have a long distance relationship. We talk every day, have visited each other for a week at a time, been getting to know each other for about a year now.  we have talked about getting married as well. We are both in our 30s and never been married before.  However, when we get into arguments, he likes to criticize me which i can’t tolerate. Although i love him and really want to spend the rest of my life with him, I refuse to be engaged in a verbally abusive relationship. So i broke up with him.",,No Distortion,
"I feel like I’m a somewhat normal person. I’m too scared from social anxiety to ever try to be “out there”. Despite that, my mom always looks at me with distaste. She once took me out with her to go shopping, and when I brought clothes to the changing room, she looked at me like I was crazy for wanting to buy anything (why bring me shopping if she doesn’t want me to get anything???). She doesn’t like when I spend money, even if it’s not her money. She doesn’t like it when I wear shorts(even in the summer heat), or anything semi-nice, I feel like she is slut-shaming me with her eyes, and I don’t even dress inappropriately because of my issues with my body.","Despite that, my mom always looks at me with distaste. ",Mind Reading,
"About a year and a half ago, I experienced (what I think was, but was never actually diagnosed) a period of depression lasting almost six months. Almost every day, I would drag myself out of bed, go to school, and then come home and go back to sleep. While at school, I found little to no enjoyment in the company of my friends and I could barely stand to sit through class and take part in the tedious and pointless activities. I often thought about suicide, but eventually decided that I would be too scared of failing and ending up worse off to try it. However, I distinctly remember feeling as if I wouldn’t mind if a car were to hit me while crossing the street. I pretty much never ate during the day; I would fast from the time I woke up to about 10:00 pm when I was so hungry that I would often binge on anything I could find. It was also during this time that I began to habitually self-harm.","However, I distinctly remember feeling as if I wouldn’t mind if a car were to hit me while crossing the street.",All-or-nothing thinking,
"From the U.S.: Hi, I am a female and a junior in high school. I think I might be gay but I don’t know, and it’s frustrating and scary. I thought I liked boys up until now. All through junior high all I ever wanted was a boyfriend. I was boy crazy and I wanted to date every boy in the school. Now, I have a boyfriend, and when we first started dating, I really liked him. I loved holding hands with him and cuddling. But after about 4 months I have no interest in touching him or kissing him or even talking to him. But I don’t know if this is because I don’t have feelings for him specifically, or boys in general.","I think I might be gay but I don’t know, and it’s frustrating and scary.",Should statements,
"From Canada: I have been dating my boyfriend for a few months now, he has an almost 3 year old son. We have no idea when I should meet his son (my own therapist suggested 6 -12 months after the split to give the child time to grieve it has been 8 months since my boyfriend and his ex split).",,No Distortion,
Good morning sir/madam: we are an old couple who failed to convince our only son to refrain from marrying the daughter of a schizophrenic mother .we informed him that schizophrenia according to doctors is a hereditary condition but he sees himself as a hero/rescuer and is firm about marrying her. both of us need advice and counseling as we are in despair.we have had a hard life and i in particular have struggled against great odds while my husband just gave up and stayed home -to raise our only son only to see him throw away his life to please a girl who i feel should not marry at all given her history of psychotic illness in the family.please help us .we approached pastors who told us to simply submit to The Lords will/purpose.we feel tormented and need your support and wise counsel in this hour of trial.please help us,,No Distortion,
"I suffer from trust issues. I tend to be afraid of everyone, question their motives and avoid engaging in social situations with people I haven’t known for a long time and therefore feel comfortable with. I think my relationship with my mother makes things worse. She keeps giving me advice and gets mad if I brush her off. Most of the time, she tells me to be careful, don’t come back late at night, don’t go into other people’s houses, don’t believe what everyone is saying. It makes me feel useless and stupid, like I can’t take care of myself. It also makes me second guess all my emotional attachments. As it is, I have never been in a relationship, because I never trust the men that try to ask me out. I am not particularly anxious about not being in a relationship but I do wonder whether or not I just don’t need a partner right now, or it is a self-imposed independence search. I understand the fact that my mother, like all mothers, is worried. She is also an anxious individual in her day to day life. However, she makes me anxious as well, up to the point where I fear getting hurt or running into problems, not because I’m trying to take care of myself, but because I’m afraid she will say “I told you so”. How can I make myself take her comments more lightly, but maintain my good relationship with her. With my father having died a year ago, I feel like we both need each other more than ever. I just wish she understood she is just worsening my already conflicted mental state and that at 22, it is far too late for her to try to dictate my social life. She warns me about the world being a dangerous place, then makes fun of my hermit status and lack of extended social circle. (From Romania)","As it is, I have never been in a relationship, because I never trust the men that try to ask me out.",Overgeneralization,
"Hello, I am currently dating a woman who has been sexually assaulted as a child and physically assaulted as an adult. I am a very passionate and affectionate person and she can be too at times. But lately I notice she has pulled away from me emotionally and is keeping her distance by putting up a wall. We talk on the phone every day but when it comes to spending time together sexually or just 1 on 1, she avoids it. She puts up this persona that she is very tough and nothing bothers her but when she is alone that’s when she breaks down. You will never know that she is hurting because she will not show you at all. Because of the physical abuse by her son’s father, someone she truly trusted she is very insecure and does not let anyone near her heart. We have an amazing friendship but I feel what she has gone through as a child and adult is hurting our relationship. How do I handle the situation when she puts a wall up and refuses to communicate with me? (age 37, from US)",,No Distortion,
"My mother’s main principle in life is honesty. She taught my sisters and I to be loyal and always honest. My respect for her has dropped drastically since I discovered her affair with my sister’s sports coach. Through messages, they send nude images and sext constantly, to the point where she refuses to go anywhere without her phone because she fears someone will catch her, or because their affair has completely taken all her interest. I was sitting on the couch a couple months ago, with my phone beside me, coincidentally beside my mothers. It buzzed, and believing that it was mine (we both have white iPhones), I pressed the home button to view the text message. It was an explicit picture of his genitals, with a dirty caption and hundreds of winky faces. It was most definitely NOT my dad. Since then, I have spoken to one friend about it, telling her everything I felt since I couldn’t tell any of my counsellors at school (both of them are very close with my dad) or my sisters. The affair has progressed, I believe, because I discovered my mother has a hotel booked under her name every weekend in our city. Why would she need a hotel in the same city she lives in?",,No Distortion,
"From Taiwan: I used to live in one country, and it didn’t have opportunities for my career so I relocated. But in that country, I could go outside and easily find my “type” of girl I’m attracted to. It gave me motivation to improve myself as a man, and hope of finding my type of girl. It made me feel alive.","But in that country, I could go outside and easily find my “type” of girl I’m attracted to.",Emotional Reasoning,
"I have been diagnosed with Aspergers and Major Depression, however I am not sure these diagnoses are correct as hypnogogic hallucinations continue and frankly, even after two different types of antidepressants, my depression is only marginally better.",,No Distortion,
"For some years I have know to be a little different from the others. I have very little emotions compared to others. I do not comprehend others, nor their problems or pain. I do not care for that. And yet I still have that 24/7 tic in my head that tells me to end them. I visualise killing them and I enjoy it. Yet I understand that taking real actions would only slow me down in achieving certain goals. I’m good at hiding as everyone perceives me to be a charming, responsible and normal guy. (this information is just context) Now, It set me to think that this may not be how everyone else thinks and feels. Psychopathy came to mind and I did some research. I came across the psychopathy checklist (PCL-R) and found that I had a 33/40 score. Of course I’m not a professional so I would like an expert’s opinion on this case.","I’m good at hiding as everyone perceives me to be a charming, responsible and normal guy. ",Mind Reading,
"From the U.S.: My 13 year old granddaughter has called me today to tell me that she is very unhappy at home and that she has been cutting herself. I asked her if she had told her mom. She said yes the first time she did it two years ago, when she was in 6th grade. She said that she wanted help and to go to a counselor or doctor about it but her Mom never took her. So now she told me that she cut herself again last week. What do i do?? She is very unhappy at home and not feeling good about herself.",,No Distortion,
"My Fiancé changes when we are around his family. He isn’t very nice to me, and he talks to me like I am “stupid.” He just does not give me the time of day. He won’t look at me when he tells me a story, I find out WAY more when he is talking to his mom about what he did this week, and when I ask, he barely says anything. His attitude is very negative towards me. I don’t understand why he is doing this. I have tried to talk to him about it, but he says “I don’t know what you are talking about” — I will try to give him an example of something he said that isn’t nice, and he will just shrug his shoulders and says, I don’t know. I think that since we are going to be a family in about 7 days, I should be able to talk to him wherever we are, and he treats me with the same respect he does when we are at home. I don’t understand. Please help. I don’t know how to talk to him (which he is VERY stubborn) and no matter how i bring up a subject, he will immediately get defensive and he will shut down. it is hard. I just need ways to communicate effectively, and help him understand he needs to respect me no matter who is around…including his best friend who he follows like a puppy…. ah!","He isn’t very nice to me, and he talks to me like I am “stupid.”",Mind Reading,
"From an 18 year old woman in Scotland: My boyfriend ended our relationship of quite a few months a week ago. He made me call him, he was sobbing and told me he was sorry, he couldn’t do it, that we were ‘too far apart when we weren’t together’ and that he was ‘different with me than to his friends’.",,No Distortion,
"I need help, i need to know what should i do if i want to rape and murder people. Im afriad to get help because if i told them everything that they might put me away, i just want help and medication. I had a physical fight today with my fiance and i tried to hug her after we yelled at eachother but she told me to stop and let go but i cant and then she started hitting me and i almost blacked out in rage, i choked her and held her down on the bed and it was like there were voices around me screaming to just take her and slam her against every wall and rape her. I have a really bad past, i just want to get better for us to be happy but will they lock me up for those thoughts, cant they just talk with me and give medication?","I have a really bad past, i just want to get better for us to be happy but will they lock me up for those thoughts, cant they just talk with me and give medication?",Mind Reading,
"I’m 15 years old and I’m an only child. When I was 10 I found out that when I was two my mom had suffered from depression, my dad said it was because she was pregnant and then had a still born baby on Christmas Eve. However very soon after my parents talked to me about that my mom lost her job and was out of work for two years. She started changing, she was gaining a lot of weight and would cry all the time. All my life she had been able to sleep a lot but once she lost her job she wouldn’t get out of bed for days. Once she got a new job she seemed “happier” but then she became obsessed with work and likewise obsessed with my schoolwork. It was unacceptable if I got a B, it wasn’t “good enough.” However even though she had a job she would sleep all the time and would always be crying. It got to the point that between work and sleeping she didn’t have time for any of the normal mom things. She stopped doing laundry, cleaning, coming to my basketball games, and so I picked up her slack. Ever since I’ve been doing all my families laundry, cleaning the house, planning out what we need from the grocery store every week and if she ever offered to for example do the dishes so I could go to bed I’d wake up the next morning and they wouldn’t be done. Whenever I would talk to my dad about her he would say that that’s just how she is now because of her brain and that whenever she freaked out on me to not take it personally. Recently me and my mom were driving to Pennsylvania to visit family and she had a panic attack while driving she swore that the truck drivers were out to get her so she pulled over for an hour trying to “clear her head”. Also every time I try to talk to her about a problem with a guy or anything she turns it into her problem and I always end up holding her while she can’t stop crying. All of this started, because she lost the baby and after she lost the baby it was like I wasn’t good enough for her. I wasn’t a good enough reason for her to try to get better I wasn’t good enough to keep her happy I wasn’t good enough for her because I got a 92 in biology and “ruined my chances of going to a good college.” If I’ve never been good enough for her then how can I be good enough to help her? (age 15, from US)",I wasn’t a good enough reason for her to try to get better I wasn’t good enough to keep her happy I wasn’t good enough for her because I got a 92 in biology and “ruined my chances of going to a good college.,Personalization,
"I have been in this relationship for almost a year now and I am currently struggling with my bf insecurities. He thinks he is short, not attractive enough and that he is not considered a man in the outside. I knew from the begining of the relationship so I went great lengths to boost his trust (without him knowing I know his insecurities). I had no result whatsoever. Lately I have found a forum where he is posting and saying that there is nothing more “soul crushing” than to be a manlet. Problem is his insecurities affect me too. I am hurt that he feels this way, I am sad and I feel I don’t suffice. Even worse, I can’t trust him and I feel the need of snooping–only sometimes– to make sure he doesn’t do something harmful to us. Now I want to help him overcome these insecurities, but I am aware I might never could. I tried to explain to him that he is really not short 5ft8 and that I don’t see him like that and that he should accept him and play the card he is being given. IT doesn’t work he says he accepted it but he will always hate his height. I really want to know an expert opinion in regard to what should I do next. Should I accept his insecurities and back away? Should I get angry and tell him to man up and focus on other aspects in life? And moreover how can I stop his insecurities to affect me? (From Romania)",,No Distortion,
From a young man in the U.S.: I have been experiencing a fair amount of stress from my new relationship and family. The past 2 nights my girlfriend has been receiving text messages from my number at 2 am saying that I wanted to break up with her. The next night at the same time she received another text in a different form but still implying that i want to break up with her (the second text had to do with an Edgar Allan Poe). There were also pictures posted on my instagram for both days even after i changed my password after the first day.,,No Distortion,
"From a 25 year old woman in India: Known the guy for 15 years, a real solid friendship where we discussed everything, but he left the state without goodbye. We shared everything with each other, our hopes ambitions, embarrassments, secrets, sexual promiscuity and weaknesses. I was always the shoulder to cry on when the series of unending girlfriends that waltzed through his life left their sting behind, late night calls, pit stops at my place despite my parents, I was there for him when I needed me the most. I nursed him through his rather troubled engagement much to his parents relief.",,No Distortion,
"My Dad and I usually get on quite well. We have a lot in common, but whenever he cooks or cleans he doesn’t do the job properly. For instance, he won’t wash his hands before cooking or clean the sides down properly. I’m generally not that bothered by germs but everyone knows the basics of hygiene in the kitchen. I try to tell him that he should wash his hands, but he just get annoyed, and makes some excuse like he’s ‘thinking about other things’. 9 times out of 10 he doesn’t do the washing up properly either eg. there will still be oil on the frying pan. So when I try to do it or I tell him that it’s unclean he just gets irritated and says “your being rather annoying now” when I’m just trying to makes sure my sister and I get a healthy meal in a clean kitchen. My mum usually makes sure that the kitchen and everything else is clean but she’s away seeing her parents because my grandma’s going into surgery soon. Now my dad’s left with us he just seems incapable of doing even basic chores. I can’t keep pestering him but he doesn’t learn. It could be that he listens to my mum or that she does it usually and dad hasn’t had to do the washing up more than once every few days. I think it’s a bit of both.",My Dad and I usually get on quite well. ,Mental filter,
"For years now, I’ve been feeling hate towards everything, people, myself, live, friendship. I feel like I hate everything to the point where my chest literally hurts and want to rip my heart out, I unwillingly find myself constantly fantasizing about breaking someone’s bones simply because they got in my line of sight or to set the world on fire just to see everyone and everything burn and scream in pain and desperation, or to cut someone simply because I want to see them hate me. I can’t control my emotions with logic like I used to, the thoughts won’t go away. I don’t understand people anymore and I hate them so much to socialize.","For years now, I’ve been feeling hate towards everything, people, myself, live, friendship. ",Mental filter,Overgeneralization
"Soon I’ll be 21 and I never had a romantic relationship before (Never even kissed a boy before). There are two sides of me. There’s the one thinking that I should have a relationship but the other side of me doesn’t want anything at all and by even thinking about being in a realitonship makes that side of me sick. Everybody telling me that I should have a relationship: “how can I say that I don’t want something if I haven’t even tried it?” 2 days ago I registered to an online dating site. I chatted with a few guys and one seems to be interested in me. He is good-looking and has an amazing personality but even thinking about meeting him or having a relationship with him makes me sick not because of him…because of me and I regret registering to the site. I can’t imagine having feelings for him and I feel guilty because I think he is looking for something I cannot give him and he is really nice and I don’t want to hurt his feelings. The truth is that I don’t feel like dating, I don’t want to kiss anyvody nor to have a romantic relationship (sometimes I fantasize about it, but the minute there’s a chance that it could become reality I don’t feel comfortable about it anymore). I don’t want to have a relationship just because I feel desperate that I might never have anyone who’ll be interested in me. I don’t know if there’s a problem with me. There are times that I’m terrified because I’m getting older day by day and I fear that I might never have a partner and be single for the rest of my life. I would like to have kids so I don’t want to be alone forever… I have a feeling that I can’t shake…if I don’t want to do something and force myself to do it there’s a chance that I never want to try it again. But maybe I should force myself into a relationship…I really don’t know. P.s.: I’d like to appologize if my English wasn’t correct and thank you for your time and answer (age 20, from Hungary)",There are two sides of me. There’s the one thinking that I should have a relationship but the other side of me doesn’t want anything at all and by even thinking about being in a realitonship makes that side of me sick. Everybody telling me that I should have a relationship: “how can I say that I don’t want something if I haven’t even tried it?” ,Should statements,
"From a 16 year old guy in Morocco: Consider this a compilation of all the Yahoo answers topics that were never of any use in determining how F’ed up I am. It’s kind of hard to put it all in one topic, so i’ll provide statements about myself, that’s easier for me. I come here seeking advice on whether I should see a psychologist or not and, most importantly, why should I bother doing that.",,No Distortion,
"I have an aunt who is constantly putting me down and saying hurtful things to me. She has always been difficult, but the verbal abuse has gotten worse since Mom passed away a few years ago. I think my aunt feels that because I lost the one person who was always on my side that she can treat me whatever way she pleases.",I think my aunt feels that because I lost the one person who was always on my side that she can treat me whatever way she pleases.,Mind Reading,
"Lately I have found myself to be wanting to kill people at night. I don’t feel like this in the day but as soon as the sun sets, sure enough, I get an urge to kill someone. I don’t feel like I need to kill myself although I have already had suicidal thoughts. I start plotting ways to kill people and planning things like this in detail. I also have started reading crime novels and books to do with death. I told my friend about this and she recommended I find help. It scares me to think that i’m only 13 and I am having these types of dark thoughts. I’m not sure what to do about this, but if you could help, that would be great. Thanks.",,No Distortion,
